Name,Price,Brand
Noir S1 - 5 - 8 GB - 1 GB Ram - 1.3 Quad Core Processor - 5 MP Camera - Black (Brand Warranty)," 9,800",Qmobile
Noir X700 Smart Phone - 8GB - Black (Brand Warranty)," 16,300",Qmobile
M650 - Dual Sim - 2.4 - VGA Camera - Black (Brand Warranty)," 2,500",Qmobile
M650 - Dual Sim - 2.4 -  VGA Camera - Grey (Brand Warranty)," 2,500",Qmobile
N175 - 2.4 QVGA - Smart Camera - Black (Brand Warranty)," 2,200",Qmobile
X70 LINQ - 4.0 -  8 GB HDD - 1 GB RAM - 5.0 MP Camera - Black (Brand Warranty)," 11,500",Qmobile
I4 - Noir - Dual Sim - 4.5 - 8 GB - 512 MB RAM - 1.2 GHz Quad Core - 5 MP Camera - Black (Brand Warranty)," 6,960",Qmobile
M95 - Noir - 5.0 - 8 GB - 1 GB RAM - 1.3 GHz Quad Core - 5 MP Camera - White (Brand Warranty)," 9,890",Qmobile
X300 - Linq - 4.5 - 4 GB - 1 GB RAM - 1.3 GHz Quad core - 8 MP Camera - Black (Brand Warranty)," 12,000",Qmobile
M300 - Noir - Dual Sim - 5 - 8 GB HDD - 1 GB RAM - 8 MP Camera - White (Brand Warranty)," 15,099",Qmobile
L10 - LINQ Dual Sim - 5 - 8 GB HDD - 1 GB RAM - 8 MP Camera - Black (Brand Warranty)," 12,460",Qmobile
Noir I6i - 5 - 4 GB - 768 MB RAM - 1.3 Ghz Quad-Core - 5 MP Camera - Black (Brand Warranty)," 8,250",Qmobile
Magnus X6i - 4 - 512MB ROM - 256MB RAM - Smart VGA Camera - Black (Brand Warranty)," 4,500",Qmobile
Titan - X700i - 5.0 - 16 GB - 2 GB RAM - 1.3 GHZ Quad-Core - 5MP Camera - Black (Brand Warranty)," 12,900",Qmobile
QMobile Noir M82i - 4 - 4 GB - 512 MB RAM - 1.2 GHz Quad core - 2 MP Camera - Black+Gold (Brand Warranty)," 6,520",Qmobile
X2 Music - Noir - Dual Sim - 3.5 - 256 MB - 512 MB RAM - 1.3 GHz Dual Core - VGA Camera - Black (Brand Warranty)," 3,800",Qmobile
QMobile X6 - Noir - 4.0 - 512 MB - 256 MB RAM - 1.3 Ghz Dual Core - VGA Camera - White (Brand Warranty)," 3,980",Qmobile
L3 - 1.8 - Smart Camera - Black (Brand Warranty)," 1,435",Qmobile
R3000 - 4 - Dual Sim - Smart Camera - Black (Brand Warranty)," 3,500",Qmobile
Power 1000 - Power Bank - 2.8 - Smart Camera - Black-Gold (Brand Warranty)," 3,040",Qmobile
X40 - Noir - Dual Sim - 4.5 - 4 GB - 512 MB RAM - 1.0 GHz Dual Core - 2 MP Camera - Black (Brand Warranty)," 6,990",Qmobile
L15 - Linq - 5 - 8 GB - 1 GB - 1.3 GHz Quad-core - 8 MP Camera  - Black (Brand Warranty)," 12,900",Qmobile
Bolt T50 - Dual Sim - 3.5 - 512 MB - 256 MB RAM - VGA Camera - Black (Brand Warranty)," 4,200",Qmobile
T5 - Bolt - 4 - 512 MB - 256 MB RAM - 1.3 GHz Dual core - VGA Camera - Black (Brand Warranty)," 3,500",Qmobile
S1 - 5 - 8GB HDD - 1GB Ram - 5MP - Black (Brand Warranty)," 9,760",Qmobile
J5500 - 2.8 - Smart Camera - Black (Brand Warranty)," 2,999",Qmobile
C10 - Dual Sim - 2.4 - VGA Camera - Black (Brand Warranty)," 1,900",Qmobile
T480 - Bolt - Dual Sim - 5.0 - 4 GB - 512 MB RAM - Quad-Core 1.2 GHz - 2 MP Camera - Black (Brand Warranty)," 8,500",Qmobile
R395 - 2.4 - Dual Sim - Smart Camera - Black (Brand Warranty)," 2,230",Qmobile
L1 - 1.8 - Smart Camera - Black (Brand Warranty)," 1,400",Qmobile
L3 - 1.8 - Smart Camera - Black (Brand Warranty)," 1,525",Qmobile
QMobile Noir X20 - 4 - 4GB HDD - 512 MB RAM - 2 MP Camera - Black (Brand Warranty)," 6,750",Qmobile
Titan - X700i - 5.0 - 16 GB - 2 GB RAM - 1.3 GHZ Quad-Core - 5MP Camera - Black (Brand Warranty)," 12,900",Qmobile
X700i - Titan - 5 - 16 GB - 2 GB RAM - 1.3 GHz Quad-Core - 5 MP Camera - Black (Brand Warranty)," 12,179",Qmobile
L1 - 1.8 - Smart Camera - Black (Brand Warranty)," 1,399",Qmobile
Bolt T50 - Dual Sim - 4 - VGA Camera - Black (Brand Warranty)," 4,990",Qmobile
S1 - 5 - 8GB HDD - 1GB Ram - 5MP - Black (Brand Warranty)," 10,950",Qmobile
Noir X10 - 3.5 HVGA - 4GB HDD - 512MB RAM - 2MP with AF Flash - Black (Brand Warranty)," 4,740",Qmobile
X7 - 2.4 - VGA Camera - Golden (Brand Warranty)," 2,535",Qmobile
Explorer 3G - 2.8 - Dual SIM - 2MP - Black (Brand Warranty)," 3,990",Qmobile
Noir Z9 - 4.8 - 16GB HDD - 2GB RAM - 8 MP - Black (Brand Warranty)," 21,300",Qmobile
Noir X90 - Dual Sim - 5 - 8 GB - HDD - 1 GB RAM - 1.3  GHz Dual Core - 5 MP Camera Black (Brand Warranty)," 8,440",Qmobile
X30 - 4 - 4GB HDD - 512 MB RAM - 2 MP Camera - Black (Brand Warranty)," 5,490",Qmobile
Noir X34 - 4 - 4GB HDD - 512 MB RAM - 2 MP Camera - Black (Brand Warranty)," 6,650",Qmobile
H60 - 2.4 - Smart Camera - Black (Brand Warranty)," 2,050",Qmobile
X950 - 5 - 16GB HDD - 2GB Ram - 13MP - Black (Brand Warranty)," 25,000",Qmobile
S5 - 4.8 - 8 GB - 1 GB RAM - 1.3 Ghz Octa-Core - 8 MP Camera - White (Brand Warranty)," 14,299",Qmobile
Bolt T50 - 4 - 4 GB - 512 RAM - VGA Camera - Black (Brand Warranty)," 4,900",Qmobile
I5 - Noir - Dual Sim - 4.7 - 4 GB - 512 MB RAM - 1.3 GHz Quad-Core - 5 MP Camera - White (Brand Warranty)," 8,440",Qmobile
Power 3 - Dual Sim - 2.4 - Smart Camera - Black (Brand Warranty)," 2,600",Qmobile
Noir X20 - 4 - 4GB HDD - 512 MB RAM - 2 MP Camera - Black (Brand Warranty)," 6,800",Qmobile
X5 - 3.5 - 512 MB - 256 MB RAM - 1.3 GHz Dual core - 2MP Camera - Black (Brand Warranty)," 5,300",Qmobile
M150 - 2.4 - Smart Camera - Black (Brand Warranty)," 2,250",Qmobile
S5 - Noir - 4.8 - 8 GB HDD - 1 GB RAM - 8 MP Camera - White (Brand Warranty)," 14,900",Qmobile
Bolt T5 - 4 - 512 MB ROM - 256 MB RAM - VGA Camera - Black (Brand Warranty)," 4,200",Qmobile
Noir X40 - 4 - 4GB HDD - 512 MB RAM - 2 MP Camera - Black (Brand Warranty)," 6,990",Qmobile
R990 - Dual Sim - 2.8 - 2MP Camera - Black (Brand Warranty)," 2,950",Qmobile
Power 4 - Dual Sim - 2.4 - VGA Camera - Black (Brand Warranty)," 2,520",Qmobile
E995 - Dual Sim - 2.4 - 2 MP Camera - Black (Brand Warranty)," 3,500",Qmobile
T250 - Bolt - Dual Sim - 4.0 - 8 GB - 512 MB RAM - Quad-Core 1.2 GHz - 2 MP Camera - Black (Brand Warranty)," 5,950",Qmobile
