Name,Price,Brand
Ipad Mini 3 - 7.9 - 64 GB - 1 GB - 5 MP - WiFi - Without face time - Gold (Brand Warranty)," 63,500",Apple
iPad Air 2 - 9.7 Inches - 2 GB Ram - 16 GB - 1.5 GHz - Silver," 47,899",Apple
iPad Air 2 - WiFi - 9.7 Inches - 2 GB Ram - 16 GB - Dual-core 1.5 GHz - Space Grey," 47,899",Apple
iPad Air 2 - WiFi - 9.7 Inches - 2 GB Ram - 16 GB - Dual-core 1.5 GHz - Gold," 47,899",Apple
iPad Mini 3 Tablet - 7.9 Inch - 64GB HDD - 1GB RAM - 5 MP Camera - LTE - Space Gray (Brand Warranty)," 77,000",Apple
iPad Air WiFi + Cellular Phone - 9.7 Inches - 1 GB Ram - 16 GB - 1.3 GHz - without face time - Silver (Brand Warranty)," 68,000",Apple
iPad Mini 2 - 7.9 - 32GB - 1 GB - 5 MP - without face time - S.Gray (Brand Warranty)," 47,000",Apple
iPad Air 2 - 9.7 Inches - 2GB RAM - 128GB HDD - LTE - Without face time - Gold (Brand Warranty)," 91,000",Apple
iPad Air - Wifi + Cellular Phone - 9.7 - 32 GB - 1 GB - 5 MP - without face time - Space Gray (Brand Warranty)," 71,000",Apple
iPad Air - Wifi + Cellular Phone - 9.7 - 16 GB - 1 GB - 5 MP - without face time - Space Gray (Brand Warranty)," 68,000",Apple
iPad Air - Wifi + Cellular Phone - 9.7 - 32 GB - 1 GB - 5 MP - without face time - Silver (Brand Warranty)," 71,000",Apple
iPad Mini 3 - Wifi - 7.9 - 64 GB - 1 GB RAM - 1.3 GHz - 5 MP - without face time - Silver (Brand Warranty)," 63,500",Apple
iPad Air - WiFi - 9.7 Inches - 1 GB Ram - 32 GB - Dual-core 1.3 GHz - without face time - Space Grey (Brand Warranty)," 55,000",Apple
iPad Air 2 WiFi - 9.7 Inches - 2 GB Ram - 16 GB - 1.5 GHz - without face time - Space Grey (Brand Warranty)," 61,000",Apple
iPad Air - Wifi - 9.7 - 32 GB - 1 GB - 5 MP - without face time - Silver (Brand Warranty)," 55,000",Apple
iPad Mini 3 Tablet - 7.9 Inch - 64GB HDD - 1 GB RAM - 5 MP Camera - LTE - Space Gray (Brand Warranty)," 77,000",Apple
iPad Air 2 Tablet - 9.7 Inches - 64GB HDD - 2GB RAM - LTE - without face time - Gold (Brand Warranty)," 73,500",Apple
iPad Air 2 - 9.7 Inches - 2 GB Ram - 64 GB - 1.5 GHz - without face time - Space Gray (Brand Warranty)," 73,500",Apple
iPad Mini 2 - 7.9 - 32 GB - 1 GB - 5 MP - without face time - Silver (Brand Warranty)," 47,000",Apple
iPad Air - Wifi - 9.7 - 16GB - 1 GB - 5 MP - without face time - Silver (Brand Warranty)," 55,000",Apple
iPad Air - WiFi - 9.7 Inches - 1 GB Ram - 16 GB - 1.3 GHz - without face time - Space Grey (Brand Warranty)," 55,000",Apple
iPad Air 2 Tablet - 9.7 Inches - 64GB HDD - 2GB RAM - LTE - without face time - Silver (Brand Warranty)," 73,500",Apple
A3000 IdeaTab - Dual Sim - 7 - 16 GB HDD - 1 GB RAM - 5 MP Camera - 3G + WiFi - Black (Brand Warranty)," 17,500",Lenovo
Ultratab Jazz - C855 - 8 - 4GB - Android - 4.2(Jelly Bean) - White," 7,200",NVC
AlphaTronix - U9GT2 - CUBE - 9.7 - 16GB HDD - 1GB RAM -  2.0 MP Camera - Silver," 19,999",AlphaTronix
CharJi EVO LTE Tab - 6.98” - 16 GB - 2 GB RAM - 1.2 Ghz Quad-core Processor - 8 MP Camera - LTE - Dual-SIM - White," 25,000",EVO
CharJi EVO LTE Tab - 6.98 Inch - 16GB - 2GB RAM - 1.2 Ghz Quad-core Processor - 8MP Camera - LTE - Dual-SIM - Black," 25,000",EVO
Genius Tab - T450 - 3G - 6.95 Inches - 1 GB Ram - 8 GB - Quad-core 1.2 Ghz - Black (Brand Warranty)," 13,500",Dany
Genius Tab - T1000 - 3G - 10.0 Inches - 1 GB Ram - 16 GB - Quad-core 1.3 Ghz - White (Brand Warranty)," 19,850",Dany
Genius T4 Tab - 3G - 6.0 - 8 GB - 1 GB RAM - Quad-core 1.2 Ghz - White (Brand Warranty)," 12,500",Dany
Galaxy Tab Pro - SM-T520 - WiFi - 10.1 Inches - 2 GB Ram - 16 GB - Quad-core 1.3 GHz1.9 GHz - Black (Daraz Warranty)," 30,990",Samsung
SM-T231 - Galaxy Tab 4 - 7.0 Inches - 1.5 GB Ram - 8 GB - 1.2 GHz Quad-core - WiFI + 3G - Black," 18,500",Samsung
SM-T555 - Galaxy Tab A - 9.7 - 16 GB - 2 GB RAM - 1.2 GHz Quad Core - 3G + WiFi - White," 32,000",Samsung
ARC 8 - 8 - 16 GB HDD - 1 GB RAM - 2 MP Camera - WiFi - Silver (Brand Warranty)," 10,500",Xpod
ARC 10 - Quad Core Tablet - 10 - 16GB HDD - 1GB RAM - 5MP Camera - Wi-Fi + 3G Evo - Silver (Brand Warranty)," 15,899",Xpod
ARC X - 10 - 16 GB HDD - 1 GB RAM - 5 MP Camera - WiFi - Silver (Brand Warranty)," 17,990",Xpod
