"","id","ball","batsman","bowler","nonstriker","innings","team","run","extra","wicket","odi_no","commentary","check"
"26298","41846","0.1","1186",230,525,2,"Pakistan",41852,-1,-1,3598,"none",0
"26299","41847","0.2","1186",230,525,2,"Pakistan",41853,-1,-1,3598,"none",0
"26300","41848","0.3","1186",230,525,2,"Pakistan",41854,-1,-1,3598,"none",0
"26301","41849","0.4","1186",230,525,2,"Pakistan",41855,-1,-1,3598,"none",0
"26302","41850","0.5","1186",230,525,2,"Pakistan",41856,-1,-1,3598,"none",0
"26303","41851","0.6","1186",230,525,2,"Pakistan",41857,1507,-1,3598,"none",0
"26304","41852","1.1","1186",590,525,2,"Pakistan",41858,-1,-1,3598,"none",0
"26305","41853","1.2","1186",590,525,2,"Pakistan",41859,-1,-1,3598,"none",0
"26306","41854","1.3","1186",590,525,2,"Pakistan",41860,-1,-1,3598,"none",0
"26307","41855","1.4","1186",590,525,2,"Pakistan",41861,-1,-1,3598,"none",0
"26308","41856","1.5","1186",590,525,2,"Pakistan",41862,1508,-1,3598,"none",0
"26309","41857","1.5","1186",590,525,2,"Pakistan",41863,-1,-1,3598,"none",0
"26310","41858","1.6","1186",590,525,2,"Pakistan",41864,-1,-1,3598,"none",0
"26312","41860","2.2","1186",230,525,2,"Pakistan",41866,-1,-1,3598,"none",0
"26313","41861","2.3","1186",230,525,2,"Pakistan",41867,-1,-1,3598,"none",0
"26318","41866","3.1","1186",590,525,2,"Pakistan",41872,-1,-1,3598,"none",0
"26319","41867","3.2","1186",590,525,2,"Pakistan",41873,-1,-1,3598,"none",0
"26320","41868","3.3","1186",590,525,2,"Pakistan",41874,-1,-1,3598,"none",0
"26321","41869","3.4","1186",590,525,2,"Pakistan",41875,-1,-1,3598,"none",0
"26322","41870","3.5","1186",590,525,2,"Pakistan",41876,-1,-1,3598,"none",0
"26323","41871","3.6","1186",590,525,2,"Pakistan",41877,-1,-1,3598,"none",0
"26325","41873","4.2","1186",230,525,2,"Pakistan",41879,-1,-1,3598,"none",0
"26330","41878","5.1","1186",590,525,2,"Pakistan",41884,-1,-1,3598,"none",0
"26331","41879","5.2","1186",590,525,2,"Pakistan",41885,-1,-1,3598,"none",0
"26336","41884","6.1","1186",230,525,2,"Pakistan",41890,-1,-1,3598,"none",0
"26337","41885","6.2","1186",230,525,2,"Pakistan",41891,-1,-1,3598,"none",0
