id,fielders,kind,player_out,odi_no,check
246,,bowled,2127,2891,0
247,139,caught,2087,2891,0
248,27,caught,2025,2891,0
249,120,caught,2091,2891,0
250,,bowled,1716,2891,0
251,27,caught,2140,2891,0
252,2157,run out,2047,2891,0
253,154,caught,2019,2891,0
254,2091,caught,154,2891,0
255,2047,caught,27,2891,0
256,2087,run out,120,2891,0
257,2087,run out,1,2891,0
258,2025,caught,355,2891,0
259,2127,caught,137,2891,0
260,,bowled,103,2891,0
261,,bowled,155,2891,0
262,,bowled,139,2891,0
263,,bowled,2157,2891,0
264,,lbw,154,2890,0
265,1923,caught,1,2890,0
266,2025,caught,27,2890,0
267,2091,stumped,120,2890,0
268,2091,caught,137,2890,0
269,2029,caught,103,2890,0
270,2087,run out,2,2890,0
271,2112,caught,355,2890,0
272,1206,caught,2177,2890,0
273,2091,run out,346,2890,0
274,346,caught,2091,2890,0
275,103,caught,2127,2890,0
276,137,caught,1368,2890,0
277,139,caught,2025,2890,0
278,,lbw,1716,2890,0
279,137,caught,2087,2890,0
280,2140,caught,27,2888,0
281,,lbw,1,2888,0
282,1206,caught,154,2888,0
283,,bowled,120,2888,0
284,2091,stumped,355,2888,0
285,,bowled,239,2888,0
286,,bowled,2,2888,0
287,1716,caught,137,2888,0
288,,bowled,346,2888,0
289,,bowled,139,2888,0
290,,lbw,2127,2888,0
291,120,caught,2091,2888,0
292,1,caught,2087,2888,0
303,2019,caught,1,2885,0
304,2019,caught,120,2885,0
305,,lbw,137,2885,0
306,1368,caught,154,2885,0
307,1206,caught,8,2885,0
308,2019,caught,239,2885,0
309,2029,caught,355,2885,0
310,,lbw,155,2885,0
311,2140,caught,139,2885,0
312,,lbw,2127,2885,0
313,,lbw,2091,2885,0
314,,bowled,1368,2885,0
315,139,caught,2140,2885,0
316,239,caught,2127,2883,0
317,355,caught,2091,2883,0
318,120,caught,1368,2883,0
319,120,caught,2140,2883,0
320,,bowled,2025,2883,0
321,,lbw,2019,2883,0
322,,bowled,1716,2883,0
323,137,caught,2047,2883,0
324,,lbw,1,2883,0
325,2091,caught,120,2883,0
326,,caught and bowled,154,2883,0
327,1368,2091,run out,137,2883,0
328,,lbw,355,2883,0
329,2091,caught,239,2883,0
330,2091,caught,2177,2883,0
331,,bowled,155,2883,0
332,,bowled,139,2883,0
333,,bowled,8,2883,0
334,8,run out,2091,2882,0
335,,caught and bowled,2127,2882,0
336,155,120,run out,2140,2882,0
337,137,caught,1368,2882,0
338,,bowled,2025,2882,0
339,2140,caught,154,2882,0
340,2029,caught,120,2882,0
341,2091,stumped,1,2882,0
342,,hit wicket,137,2882,0
343,2127,caught,8,2882,0
344,1368,caught,2,2882,0
345,2091,run out,239,2882,0
346,2091,caught,155,2882,0
347,2195,caught,473,3576,0
348,701,caught,900,3576,0
349,2195,caught,231,3576,0
350,,lbw,638,3576,0
351,,bowled,1385,3576,0
352,1118,caught,1203,3576,0
353,844,caught,479,3576,0
354,,bowled,701,3576,0
355,,lbw,2195,3576,0
356,1203,caught,753,3576,0
357,1203,caught,2086,3576,0
358,,lbw,523,3576,0
359,,lbw,1720,3576,0
360,,lbw,1051,3576,0
361,1143,caught,844,3576,0
362,1203,caught,743,3576,0
363,,bowled,1118,3576,0
364,2195,caught,231,3572,0
365,2195,caught,473,3572,0
366,1051,caught,1385,3572,0
367,2195,caught,638,3572,0
368,1051,caught,479,3572,0
369,,bowled,2054,3572,0
370,,lbw,1203,3572,0
371,844,caught,1194,3572,0
372,,lbw,2086,3572,0
373,1385,caught,701,3572,0
374,358,caught,2086,3581,0
375,359,caught,701,3581,0
376,359,caught,753,3581,0
377,632,caught,523,3581,0
378,,lbw,743,3581,0
379,682,caught,1720,3581,0
380,359,caught,2195,3581,0
381,359,caught,1663,3581,0
382,2195,caught,360,3581,0
383,,lbw,682,3581,0
384,,caught and bowled,338,3581,0
385,2195,caught,359,3581,0
386,,bowled,342,3581,0
