"","id","ball","batsman","bowler","nonstriker","innings","team","run","extra","wicket","odi_no","commentary","check","id.1","wides","legbyes","noballs","byes","odi_no.1","check.1","id.2","batsman.1","extras","total","odi_no.2","check.2","id.3","fielders","kind","player_out","odi_no.3","check.3","X","X.1","X.2"
"26298","41846","0.1","1186",230,525,2,"Pakistan",41852,-1,-1,3598,"none",0,NA,NA,NA,NA,NA,NA,NA,41852,2,0,2,3598,0,NA,NA,"","","","",NA,NA,NA
"26299","41847","0.2","1186",230,525,2,"Pakistan",41853,-1,-1,3598,"none",0,NA,NA,NA,NA,NA,NA,NA,41853,0,0,0,3598,0,NA,NA,"","","","",NA,NA,NA
"26300","41848","0.3","1186",230,525,2,"Pakistan",41854,-1,-1,3598,"none",0,NA,NA,NA,NA,NA,NA,NA,41854,0,0,0,3598,0,NA,NA,"","","","",NA,NA,NA
"26301","41849","0.4","1186",230,525,2,"Pakistan",41855,-1,-1,3598,"none",0,NA,NA,NA,NA,NA,NA,NA,41855,0,0,0,3598,0,NA,NA,"","","","",NA,NA,NA
"26302","41850","0.5","1186",230,525,2,"Pakistan",41856,-1,-1,3598,"none",0,NA,NA,NA,NA,NA,NA,NA,41856,2,0,2,3598,0,NA,NA,"","","","",NA,NA,NA
"26303","41851","0.6","1186",230,525,2,"Pakistan",41857,1507,-1,3598,"none",0,NA,NA,NA,NA,NA,NA,NA,41857,0,1,1,3598,0,NA,NA,"","","","",NA,NA,NA
"26304","41852","1.1","1186",590,525,2,"Pakistan",41858,-1,-1,3598,"none",0,NA,NA,NA,NA,NA,NA,NA,41858,0,0,0,3598,0,NA,NA,"","","","",NA,NA,NA
"26305","41853","1.2","1186",590,525,2,"Pakistan",41859,-1,-1,3598,"none",0,NA,NA,NA,NA,NA,NA,NA,41859,0,0,0,3598,0,NA,NA,"","","","",NA,NA,NA
"26306","41854","1.3","1186",590,525,2,"Pakistan",41860,-1,-1,3598,"none",0,NA,NA,NA,NA,NA,NA,NA,41860,0,0,0,3598,0,NA,NA,"","","","",NA,NA,NA
"26307","41855","1.4","1186",590,525,2,"Pakistan",41861,-1,-1,3598,"none",0,NA,NA,NA,NA,NA,NA,NA,41861,0,0,0,3598,0,NA,NA,"","","","",NA,NA,NA
"26308","41856","1.5","1186",590,525,2,"Pakistan",41862,1508,-1,3598,"none",0,NA,NA,NA,NA,NA,NA,NA,41862,0,1,1,3598,0,NA,NA,"","","","",NA,NA,NA
"26309","41857","1.5","1186",590,525,2,"Pakistan",41863,-1,-1,3598,"none",0,NA,NA,NA,NA,NA,NA,NA,41863,0,0,0,3598,0,NA,NA,"","","","",NA,NA,NA
"26310","41858","1.6","1186",590,525,2,"Pakistan",41864,-1,-1,3598,"none",0,NA,NA,NA,NA,NA,NA,NA,41864,0,0,0,3598,0,NA,NA,"","","","",NA,NA,NA
"26312","41860","2.2","1186",230,525,2,"Pakistan",41866,-1,-1,3598,"none",0,NA,NA,NA,NA,NA,NA,NA,41866,0,0,0,3598,0,NA,NA,"","","","",NA,NA,NA
"26313","41861","2.3","1186",230,525,2,"Pakistan",41867,-1,-1,3598,"none",0,NA,NA,NA,NA,NA,NA,NA,41867,1,0,1,3598,0,NA,NA,"","","","",NA,NA,NA
"26318","41866","3.1","1186",590,525,2,"Pakistan",41872,-1,-1,3598,"none",0,NA,NA,NA,NA,NA,NA,NA,41872,0,0,0,3598,0,NA,NA,"","","","",NA,NA,NA
"26319","41867","3.2","1186",590,525,2,"Pakistan",41873,-1,-1,3598,"none",0,NA,NA,NA,NA,NA,NA,NA,41873,2,0,2,3598,0,NA,NA,"","","","",NA,NA,NA
"26320","41868","3.3","1186",590,525,2,"Pakistan",41874,-1,-1,3598,"none",0,NA,NA,NA,NA,NA,NA,NA,41874,0,0,0,3598,0,NA,NA,"","","","",NA,NA,NA
"26321","41869","3.4","1186",590,525,2,"Pakistan",41875,-1,-1,3598,"none",0,NA,NA,NA,NA,NA,NA,NA,41875,0,0,0,3598,0,NA,NA,"","","","",NA,NA,NA
"26322","41870","3.5","1186",590,525,2,"Pakistan",41876,-1,-1,3598,"none",0,NA,NA,NA,NA,NA,NA,NA,41876,0,0,0,3598,0,NA,NA,"","","","",NA,NA,NA
"26323","41871","3.6","1186",590,525,2,"Pakistan",41877,-1,-1,3598,"none",0,NA,NA,NA,NA,NA,NA,NA,41877,0,0,0,3598,0,NA,NA,"","","","",NA,NA,NA
